zen,https://zen-of-python.info/namespaces-are-one-honking-great-idea--lets-do-more-of-those.html
precess,https://www.youtube.com/watch?v=ty9QSiVC2g0
myth,https://www.youtube.com/watch?v=PHxvMLoKRWg
kitten,https://www.youtube.com/watch?v=1Z9YNmCIscs
insulin,https://www.ncbi.nlm.nih.gov/pubmed/443421
sir,https://www.maa.org/press/periodicals/loci/joma/the-sir-model-for-spread-of-disease
khan2,https://www.khanacademy.org/math/ap-calculus-bc/diff-equations-bc/logistic-diff-eq-bc/v/solving-logistic-differential-equation-part-1
khan3,https://www.khanacademy.org/math/ap-calculus-ab/diff-equations-ab/exponential-models-ab/v/newtons-law-of-cooling
khan1,https://www.khanacademy.org/math/ap-calculus-ab/diff-equations-ab/exponential-models-ab/v/exponential-solution-to-differential-equation
bergman,https://www.karger.com/Article/Abstract/89312
nasa,https://www.grc.nasa.gov/www/k-12/airplane/balldrag.html
cdc,https://www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf
loc,https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.loc.html
series,https://pandas.pydata.org/pandas-docs/stable/generated/pandas.Series.html
color,https://matplotlib.org/users/colors.html
plot,https://matplotlib.org/api/pyplot_api.html#matplotlib.pyplot.plot
zip,https://github.com/AllenDowney/ModSimPy/archive/master.zip
git,https://git-scm.com/download/linux
yoyo,https://en.wikipedia.org/wiki/Yo-yo
worldpop,https://en.wikipedia.org/wiki/World_population_estimates
trajec,https://en.wikipedia.org/wiki/Trajectory
torque,https://en.wikipedia.org/wiki/Torque
paper,https://en.wikipedia.org/wiki/Toilet_paper
timeser,https://en.wikipedia.org/wiki/Time_series
thermrad,https://en.wikipedia.org/wiki/Thermal_radiation
thermass,https://en.wikipedia.org/wiki/Thermal_mass
popbomb,https://en.wikipedia.org/wiki/The_Population_Bomb
stock,https://en.wikipedia.org/wiki/Stock_and_flow
spline,https://en.wikipedia.org/wiki/Spline_(mathematics)
singval,https://en.wikipedia.org/wiki/Single-valued_function
thermo,https://en.wikipedia.org/wiki/Second_law_of_thermodynamics
recur,https://en.wikipedia.org/wiki/Recurrence_relation
quarter,https://en.wikipedia.org/wiki/Quarter_(United_States_coin)
penny,https://en.wikipedia.org/wiki/Penny_(United_States_coin)
ode,https://en.wikipedia.org/wiki/Ordinary_differential_equation#General_definition
nondim,https://en.wikipedia.org/wiki/Nondimensionalization#First_order_system
varmass,https://en.wikipedia.org/wiki/Newton's_laws_of_motion#Variable-mass_systems
newton,https://en.wikipedia.org/wiki/Newton's_laws_of_motion
mythbust,https://en.wikipedia.org/wiki/MythBusters_(2003_season)
mortality,https://en.wikipedia.org/wiki/Mortality_rate
magnus,https://en.wikipedia.org/wiki/Magnus_effect
minpack,https://en.wikipedia.org/wiki/MINPACK
logistic,https://en.wikipedia.org/wiki/Logistic_function
moment,https://en.wikipedia.org/wiki/List_of_moments_of_inertia
lmm,https://en.wikipedia.org/wiki/Linear_multistep_method
levmarq,https://en.wikipedia.org/wiki/Levenberg-Marquardt_algorithm
inverse,https://en.wikipedia.org/wiki/Inverse_problem
herd,https://en.wikipedia.org/wiki/Herd_immunity
transfer,https://en.wikipedia.org/wiki/Heat_transfer
specheat,https://en.wikipedia.org/wiki/Heat_capacity#Specific_heat_capacity
hardcode,https://en.wikipedia.org/wiki/Hard_coding
wally,https://en.wikipedia.org/wiki/Green_Monster
geom,https://en.wikipedia.org/wiki/Geometric_progression
expo,https://en.wikipedia.org/wiki/Exponential_growth
euler,https://en.wikipedia.org/wiki/Euler_method
vecops,https://en.wikipedia.org/wiki/Euclidean_vector#Addition_and_subtraction
drageq,https://en.wikipedia.org/wiki/Drag_equation
dragco,https://en.wikipedia.org/wiki/Drag_coefficient
diffeq,https://en.wikipedia.org/wiki/Differential_equation
tempress,https://en.wikipedia.org/wiki/Density_of_air#Temperature_and_pressure
density,https://en.wikipedia.org/wiki/Density_of_air
boolean,https://en.wikipedia.org/wiki/Boolean_algebra
contact,https://en.wikipedia.org/wiki/Basic_reproduction_number
baseball,https://en.wikipedia.org/wiki/Baseball_(ball)
plato,https://en.wikipedia.org/wiki/Allegory_of_the_Cave
minimize,https://docs.scipy.org/doc/scipy/reference/generated/scipy.optimize.minimize_scalar.html
interp,https://docs.scipy.org/doc/scipy/reference/generated/scipy.interpolate.interp1d.html
hindmarsh,http://history.siam.org/oralhistories/hindmarsh.htm
minmod,http://faculty.washington.edu/gennari/teaching/591-BioSimSem/Bergman-minmodel05.pdf
license,http://creativecommons.org/licenses/by-nc-sa/4.0/
wall ,http://discovery.ucl.ac.uk/1526521
runs,https://aapt.scitation.org/doi/abs/10.1119/1.1604384
brent,https://en.wikipedia.org/wiki/Brents_method
divider,https://en.wikipedia.org/wiki/File:RC_Divider.svg
hooke,https://en.wikipedia.org/wiki/Hookes_law
moment,https://en.wikipedia.org/wiki/List_of_moments_of_inertia
